RegionName,City,State,Metro,CountyName,SizeRank,Cost,Bedrooms
Midtown,New York,NY,New York,New York,70,2695,0
Tribeca,New York,NY,New York,New York,71,3595,0
Tudor City,New York,NY,New York,New York,74,2300,0
Battery Park City,New York,NY,New York,New York,75,2950,0
Boerum Hill,New York,NY,New York,Kings,85,2650,0
SoHo,New York,NY,New York,New York,87,2495,0
Hunters Point,New York,NY,New York,Queens,89,2331,0
Murray Hill,New York,NY,New York,New York,91,2425,0
Downtown Brooklyn,New York,NY,New York,Kings,93,2590,0
Garment District,New York,NY,New York,New York,100,2800,0
city,New York,NY,New York,,,2200,0
metro,New York,NY,New York,,,2150,0
Upper West Side,New York,NY,New York,New York,3,3250,1
Upper East Side,New York,NY,New York,New York,5,2800,1
East New York,New York,NY,New York,Kings,6,1400,1
Washington Heights,New York,NY,New York,New York,9,1600,1
Astoria,New York,NY,New York,Queens,11,1900,1
Williamsburg,New York,NY,New York,Kings,15,2873,1
Bedford-Stuyvesant,New York,NY,New York,Kings,16,1975,1
Flatbush,New York,NY,New York,Kings,18,1600,1
Crown Heights,New York,NY,New York,Kings,19,1962.5,1
Jamaica,New York,NY,New York,Queens,20,1571,1
Harlem,New York,NY,New York,New York,21,1900,1
Williamsbridge,New York,NY,New York,Bronx,22,1300,1
East Harlem,New York,NY,New York,New York,23,2300,1
Bushwick,New York,NY,New York,Kings,24,1999,1
East Flatbush,New York,NY,New York,Kings,25,1499.5,1
Corona,New York,NY,New York,Queens,27,1675,1
Sunset Park,New York,NY,New York,Kings,28,1650,1
Concourse,New York,NY,New York,Bronx,29,1300,1
Elmhurst,New York,NY,New York,Queens,31,1750,1
Bensonhurst,New York,NY,New York,Kings,32,1475,1
Soundview,New York,NY,New York,Bronx,35,1300,1
Lower East Side,New York,NY,New York,New York,36,2690,1
Flushing,New York,NY,New York,Queens,39,1650,1
Murray Hill (Queens),New York,NY,New York,Queens,41,1599.5,1
Sheepshead Bay,New York,NY,New York,Kings,42,1575,1
Gravesend,New York,NY,New York,Kings,44,1550,1
Forest Hills,New York,NY,New York,Queens,47,1885,1
East Village,New York,NY,New York,New York,48,2899,1
Ridgewood,New York,NY,New York,Queens,51,1650,1
East Elmhurst,New York,NY,New York,Queens,52,1650,1
Jackson Heights,New York,NY,New York,Queens,53,1825,1
Midwood,New York,NY,New York,Kings,55,1550,1
Park Slope,New York,NY,New York,Kings,56,2500,1
Gramercy,New York,NY,New York,New York,60,3304,1
Richmond Hill,New York,NY,New York,Queens,61,1450,1
Bay Ridge,New York,NY,New York,Kings,62,1575,1
Tremont & East Tremont,New York,NY,New York,Bronx,64,1300,1
Kensington,New York,NY,New York,Kings,66,1800,1
Bath Beach,New York,NY,New York,Kings,68,1450,1
University Heights,New York,NY,New York,Bronx,70,1300,1
Bayside,New York,NY,New York,Queens,71,1650,1
Bedford Park,New York,NY,New York,Bronx,72,1400,1
Maspeth,New York,NY,New York,Queens,74,1575,1
Hamilton Heights,New York,NY,New York,New York,76,1750,1
Chelsea,New York,NY,New York,New York,78,3700,1
Woodside,New York,NY,New York,Queens,80,1749,1
